date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,DISCA,20.531425,20.68983,20.153296,20.173735,3748438,0,0.0
2011-09-09,DISCA,19.954012,20.117527,19.432804,19.57588,4653355,0,0.0
2011-09-12,DISCA,19.29484,19.60654,18.87583,19.30506,4457068,0,0.0
2011-09-13,DISCA,19.351048,19.708738,19.2233,19.62698,2824147,0,0.0
2011-09-14,DISCA,19.764946,20.291262,19.509453,20.040878,2703400,0,0.0
2011-09-15,DISCA,20.260603,20.516096,19.954012,20.505877,3246076,0,0.0
2011-09-16,DISCA,20.664282,20.894226,20.291262,20.521206,4392291,0,0.0
2011-09-19,DISCA,20.219725,20.32703,19.877363,20.245274,3264276,0,0.0
2011-09-20,DISCA,20.36791,20.597855,20.229944,20.306593,2602419,0,0.0
2011-09-21,DISCA,20.434338,21.027082,20.281042,20.403679,5748296,0,0.0
2011-09-22,DISCA,19.902912,20.117527,19.397036,19.795607,6520920,0,0.0
2011-09-23,DISCA,19.775166,20.582523,19.64742,20.38835,4087782,0,0.0
2011-09-26,DISCA,20.613182,21.313234,20.439447,21.287685,5189377,0,0.0
2011-09-27,DISCA,21.691364,21.85488,21.221256,21.349005,4012437,0,0.0
2011-09-28,DISCA,21.415432,21.415432,20.265713,20.31681,5039275,0,0.0
2011-09-29,DISCA,20.659172,20.710272,19.412367,19.693407,5323236,0,0.0
2011-09-30,DISCA,19.478794,19.60143,19.151764,19.2233,4366067,0,0.0
2011-10-03,DISCA,19.161983,19.26418,18.742973,18.768522,4894066,0,0.0
2011-10-04,DISCA,18.53347,19.320389,18.216658,19.289728,4082498,0,0.0
2011-10-05,DISCA,19.356157,19.483904,18.967808,19.391926,3444907,0,0.0
2011-10-06,DISCA,19.407255,19.729177,19.182423,19.724068,1619026,0,0.0
2011-10-07,DISCA,19.831375,19.831375,19.26418,19.463465,3245097,0,0.0
2011-10-10,DISCA,19.780275,20.066427,19.703629,19.99489,2508287,0,0.0
2011-10-11,DISCA,19.969341,20.638733,19.846704,20.475218,4038465,0,0.0
2011-10-12,DISCA,20.684723,20.909555,20.541645,20.76137,2825712,0,0.0
2011-10-13,DISCA,20.587633,20.827799,20.449669,20.74604,1893006,0,0.0
2011-10-14,DISCA,21.021973,21.349005,20.929995,21.338783,2317871,0,0.0
2011-10-17,DISCA,21.277466,21.364332,20.807358,20.863567,1974809,0,0.0
2011-10-18,DISCA,20.863567,21.400103,20.602964,21.241695,1929406,0,0.0
2011-10-19,DISCA,21.241695,21.349005,20.914665,20.986202,1674409,0,0.0
2011-10-20,DISCA,21.021973,21.12417,20.807358,20.981094,3019064,0,0.0
2011-10-21,DISCA,21.231478,21.793562,21.231478,21.757793,3428273,0,0.0
2011-10-24,DISCA,21.81911,22.120592,21.722025,21.977516,2203582,0,0.0
2011-10-25,DISCA,21.778233,21.957077,21.48697,21.538069,1713941,0,0.0
2011-10-26,DISCA,21.47164,21.599386,21.349005,21.48697,3415748,0,0.0
2011-10-27,DISCA,22.074604,22.130812,21.82933,22.008177,3513598,0,0.0
2011-10-28,DISCA,21.977516,22.018396,21.686255,21.885538,2514941,0,0.0
2011-10-31,DISCA,21.752684,22.416965,21.670925,22.20746,5126362,0,0.0
2011-11-01,DISCA,21.502298,22.294329,21.287685,21.599386,6574737,0,0.0
2011-11-02,DISCA,22.20746,22.5396,21.85999,22.493612,7919196,0,0.0
2011-11-03,DISCA,22.626469,22.769545,22.258558,22.698008,3358799,0,0.0
2011-11-04,DISCA,22.488503,22.60603,22.253448,22.493612,2500263,0,0.0
2011-11-07,DISCA,22.493612,22.621359,22.253448,22.58048,1908075,0,0.0
2011-11-08,DISCA,22.698008,23.065916,22.396524,23.025038,2526291,0,0.0
2011-11-09,DISCA,22.253448,22.416965,21.303015,21.46142,5066673,0,0.0
2011-11-10,DISCA,21.82422,21.82422,21.10373,21.49719,4935554,0,0.0
2011-11-11,DISCA,21.701584,22.187021,21.614716,22.171692,2753108,0,0.0
2011-11-14,DISCA,22.125704,22.166582,21.814001,21.916199,2409654,0,0.0
2011-11-15,DISCA,21.798672,21.875319,21.333673,21.46653,4338082,0,0.0
2011-11-16,DISCA,21.216146,21.640266,21.088402,21.180378,2768764,0,0.0
2011-11-17,DISCA,21.11906,21.175268,20.715382,20.807358,2732559,0,0.0
2011-11-18,DISCA,20.924885,20.955544,20.648952,20.75626,2156810,0,0.0
2011-11-21,DISCA,20.526316,20.602964,20.168625,20.485437,2712598,0,0.0
2011-11-22,DISCA,20.526316,20.853348,20.449669,20.73582,2697333,0,0.0
