date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-12-07,TRIP,24.455076,24.686289,21.342613,24.410614,1413600,0.0,0
2011-12-08,TRIP,23.17452,24.704077,22.90774,23.610266,719600,0.0,0
2011-12-09,TRIP,24.837467,24.899715,23.743658,24.819681,716200,0.0,0
2011-12-12,TRIP,25.148712,25.148712,24.010439,24.410614,393300,0.0,0
2011-12-13,TRIP,25.371033,25.371033,24.019333,24.455078,452500,0.0,0
2011-12-14,TRIP,25.068678,25.068678,23.877048,24.117153,444400,0.0,0
2011-12-15,TRIP,24.784111,25.877918,24.544006,25.193176,1417600,0.0,0
2011-12-16,TRIP,26.607124,26.607124,24.899715,25.30878,966700,0.0,0
2011-12-19,TRIP,25.513315,26.198057,25.264318,25.762312,1048500,0.0,0
2011-12-20,TRIP,26.23363,27.229618,26.20695,26.900585,2017200,0.0,0
2011-12-21,TRIP,26.678267,26.678267,24.46397,24.606255,2871800,0.0,0
2011-12-22,TRIP,24.117155,24.544006,21.333721,21.81393,6294100,0.0,0
2011-12-23,TRIP,21.973999,24.134937,21.78725,23.13895,2744200,0.0,0
2011-12-27,TRIP,22.552029,23.210093,21.902857,23.067808,2887400,0.0,0
2011-12-28,TRIP,22.454208,23.103378,22.178534,22.916632,2098600,0.0,0
2011-12-29,TRIP,22.7121,22.818811,22.045141,22.07182,2247300,0.0,0
2011-12-30,TRIP,22.20521,22.72099,21.911749,22.418636,1798400,0.0,0
2012-01-03,TRIP,23.254557,24.321688,23.218987,23.681408,3721800,0.0,0
2012-01-04,TRIP,22.961094,23.201199,22.59649,22.836596,1681000,0.0,0
2012-01-05,TRIP,21.8495,22.961096,21.8495,22.694313,1534700,0.0,0
2012-01-06,TRIP,22.694313,23.13895,22.383066,22.738775,1484800,0.0,0
2012-01-09,TRIP,22.889954,23.805908,22.809917,23.352377,1965300,0.0,0
2012-01-10,TRIP,23.770336,25.113142,23.645838,24.677397,4177500,0.0,0
2012-01-11,TRIP,23.734766,25.095356,23.619158,24.712969,1803300,0.0,0
2012-01-12,TRIP,24.78411,25.940166,24.721859,25.30878,2005600,0.0,0
2012-01-13,TRIP,25.095354,26.473734,24.837465,26.242521,1993400,0.0,0
2012-01-17,TRIP,26.304771,26.50041,25.708956,25.780098,3210100,0.0,0
2012-01-18,TRIP,25.513317,26.17138,25.362139,25.81567,1205200,0.0,0
2012-01-19,TRIP,25.877918,27.46972,25.806776,26.971727,2712900,0.0,0
2012-01-20,TRIP,27.051762,27.11401,26.518196,27.033976,1307600,0.0,0
2012-01-23,TRIP,27.158476,27.380795,26.8828,27.01619,2565400,0.0,0
2012-01-24,TRIP,26.802763,27.345222,26.651587,27.291866,1299100,0.0,0
2012-01-25,TRIP,27.167366,28.75028,27.167366,28.003286,2349300,0.0,0
2012-01-26,TRIP,27.994394,28.403461,27.087332,27.612005,1881500,0.0,0
2012-01-27,TRIP,27.025084,27.976608,26.989513,27.780968,1227500,0.0,0
2012-01-30,TRIP,27.531971,28.314535,27.247402,28.136679,904500,0.0,0
2012-01-31,TRIP,27.425259,29.381664,27.425259,29.266058,1261100,0.0,0
2012-02-01,TRIP,29.443913,31.27582,29.417236,31.178001,3610100,0.0,0
2012-02-02,TRIP,31.373642,31.658209,30.084194,31.017933,2447800,0.0,0
2012-02-03,TRIP,31.186893,31.951672,31.186893,31.46257,2993500,0.0,0
2012-02-06,TRIP,31.43589,31.791601,31.178003,31.258038,1968000,0.0,0
2012-02-07,TRIP,31.37364,31.551497,30.964575,30.98236,2235900,0.0,0
2012-02-08,TRIP,30.929,31.097965,29.363878,30.537722,3220900,0.0,0
2012-02-09,TRIP,25.148714,26.544876,24.890823,26.091345,12923400,0.0,0
2012-02-10,TRIP,25.806778,27.46972,25.477745,26.713839,3623600,0.0,0
2012-02-13,TRIP,26.740517,26.793873,25.344355,25.424389,2396400,0.0,0
2012-02-14,TRIP,25.52221,25.602243,23.94819,24.570683,4072100,0.0,0
2012-02-15,TRIP,24.721859,26.767195,24.472864,26.037989,4922800,0.0,0
2012-02-16,TRIP,26.029095,27.256294,25.548885,27.033976,2583300,0.0,0
2012-02-17,TRIP,27.122904,27.514187,26.633804,27.30076,1939900,0.0,0
2012-02-21,TRIP,27.220724,27.336329,26.784979,27.27408,2462700,0.0,0
2012-02-22,TRIP,27.523079,27.523079,26.544876,26.678267,3275500,0.0,0
2012-02-23,TRIP,26.731623,27.291868,26.286985,27.20294,2041700,0.0,0
2012-02-24,TRIP,26.847229,28.456818,26.847229,28.278961,1904100,0.0,0
2012-02-27,TRIP,27.905466,28.527962,27.692041,28.376783,1438400,0.0,0
2012-02-28,TRIP,28.536852,29.78184,28.456818,28.732494,2442000,0.0,0
2012-02-29,TRIP,28.741385,28.839207,28.163357,28.66135,1356200,0.0,0
2012-03-01,TRIP,28.358997,29.23938,27.647577,29.008167,2641400,0.0,0
2012-03-02,TRIP,28.785849,29.426128,28.49239,28.856993,1640400,0.0,0
2012-03-05,TRIP,28.714708,28.82142,28.287855,28.43014,648900,0.0,0
2012-03-06,TRIP,28.01218,28.278961,27.389687,27.941038,1034800,0.0,0
2012-03-07,TRIP,28.01218,28.154465,27.487507,27.629791,1478100,0.0,0
2012-03-08,TRIP,27.745398,28.270071,27.69204,27.798754,1151700,0.0,0
2012-03-09,TRIP,27.834324,27.87879,27.17626,27.30076,705500,0.0,0
2012-03-12,TRIP,27.327438,27.6209,27.122904,27.30076,1490800,0.0,0
2012-03-13,TRIP,27.496399,27.55865,26.900585,27.105118,2280100,0.0,0
2012-03-14,TRIP,27.033976,27.567541,26.8828,27.55865,1230200,0.0,0
2012-03-15,TRIP,27.692041,28.937027,27.505293,28.874779,2319000,0.0,0
2012-03-16,TRIP,28.910347,31.053501,28.447926,30.235369,4298000,0.0,0
2012-03-19,TRIP,30.057512,30.368761,30.057512,30.235369,855800,0.0,0
2012-03-20,TRIP,29.75516,30.49326,29.75516,30.315403,1064500,0.0,0
2012-03-21,TRIP,30.386545,30.59108,29.65734,30.030836,1316200,0.0,0
2012-03-22,TRIP,29.799623,30.021942,29.36388,29.568413,1047200,0.0,0
