date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,ORLY,68.1,68.35,67.32,67.41,1097200,0,0
2011-09-09,ORLY,67.24,68.25,66.91,67.29,1415700,0,0
2011-09-12,ORLY,66.48,67.59,66.21,66.76,2005400,0,0
2011-09-13,ORLY,67.0,68.29,66.62,68.11,1793900,0,0
2011-09-14,ORLY,68.32,70.56,67.53,69.75,1694100,0,0
2011-09-15,ORLY,69.97,70.82,69.46,70.63,929300,0,0
2011-09-16,ORLY,70.8,71.7,70.51,71.14,2078800,0,0
2011-09-19,ORLY,70.6,72.0,70.54,71.72,1114500,0,0
2011-09-20,ORLY,71.74,71.78,70.09,70.42,1449900,0,0
2011-09-21,ORLY,70.53,71.29,69.76,69.79,1045200,0,0
2011-09-22,ORLY,68.66,69.6,67.95,68.61,1353800,0,0
2011-09-23,ORLY,68.57,69.5,68.18,69.14,862700,0,0
2011-09-26,ORLY,69.41,69.96,68.66,69.36,1253300,0,0
2011-09-27,ORLY,70.38,70.96,68.16,68.56,1685000,0,0
2011-09-28,ORLY,69.03,70.25,68.73,68.81,1320800,0,0
2011-09-29,ORLY,69.7,69.73,65.58,67.35,1545500,0,0
2011-09-30,ORLY,66.42,68.13,66.06,66.63,1475400,0,0
2011-10-03,ORLY,66.34,66.67,64.88,64.97,1236400,0,0
2011-10-04,ORLY,63.97,67.38,63.75,67.26,1438100,0,0
2011-10-05,ORLY,67.33,67.64,65.57,66.91,1009900,0,0
2011-10-06,ORLY,67.01,67.69,66.33,67.57,1359200,0,0
2011-10-07,ORLY,67.85,68.36,67.01,67.67,973200,0,0
2011-10-10,ORLY,68.4,69.61,67.77,69.57,839300,0,0
2011-10-11,ORLY,69.45,69.82,68.66,69.65,558300,0,0
2011-10-12,ORLY,69.85,69.94,68.04,68.37,1232100,0,0
2011-10-13,ORLY,68.35,69.08,68.05,68.71,852900,0,0
2011-10-14,ORLY,69.33,69.85,68.48,69.82,633100,0,0
2011-10-17,ORLY,70.0,71.22,68.77,69.0,1547300,0,0
