date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,PRU,32.744225,33.23539,32.027946,32.109806,5497300,0.0,0
2011-09-09,PRU,31.63912,32.218964,31.093382,31.475397,7804000,0.0,0
2011-09-12,PRU,30.847797,31.925627,30.731827,31.925627,6386400,0.0,0
2011-09-13,PRU,31.987024,32.60098,31.550434,32.40315,6407600,0.0,0
2011-09-14,PRU,32.628254,33.549183,31.727783,33.02391,7125400,0.0,0
2011-09-15,PRU,33.535557,34.5861,33.31726,34.572456,6445300,0.0,0
2011-09-16,PRU,34.85896,35.363766,34.470123,35.09772,6831700,0.0,0
2011-09-19,PRU,34.21772,34.21772,33.07167,33.80842,7234800,0.0,0
2011-09-20,PRU,34.019894,34.497414,33.41276,33.41276,4785200,0.0,0
2011-09-21,PRU,33.43322,33.8357,31.168411,31.195698,6364900,0.0,0
2011-09-22,PRU,29.954151,30.656786,29.367483,30.03601,9088200,0.0,0
2011-09-23,PRU,29.422064,30.370281,29.422064,29.9678,6624000,0.0,0
2011-09-26,PRU,30.424839,31.557243,29.940498,31.45492,7194800,0.0,0
2011-09-27,PRU,32.403145,33.09896,31.761904,32.03477,6066100,0.0,0
2011-09-28,PRU,32.096157,32.66236,30.772745,30.827318,5525000,0.0,0
2011-09-29,PRU,31.864216,32.78515,31.543598,32.78515,5723600,0.0,0
2011-09-30,PRU,32.055233,32.744225,31.789185,31.96655,5852000,0.0,0
2011-10-03,PRU,31.366247,31.973381,29.94051,29.954153,7632700,0.0,0
2011-10-04,PRU,29.422062,30.977413,28.958185,30.868265,7400000,0.0,0
2011-10-05,PRU,30.765928,32.184845,30.261122,31.96655,6420400,0.0,0
2011-10-06,PRU,31.891516,33.023922,31.257097,32.928417,4652100,0.0,0
2011-10-07,PRU,33.18082,33.28997,31.345781,31.393534,4806400,0.0,0
2011-10-10,PRU,32.123455,33.29679,32.123455,33.24904,4203200,0.0,0
2011-10-11,PRU,32.83974,34.108578,32.56687,33.917572,4558700,0.0,0
2011-10-12,PRU,34.149513,35.356956,34.149513,34.790752,4658900,0.0,0
2011-10-13,PRU,34.715714,34.852146,33.494625,33.938038,8750700,0.0,0
2011-10-14,PRU,34.64748,35.431976,34.285927,34.73616,5008000,0.0,0
2011-10-17,PRU,34.197254,34.360977,33.26268,33.405937,4908000,0.0,0
2011-10-18,PRU,33.38548,35.568428,32.99664,35.193233,6042300,0.0,0
2011-10-19,PRU,35.063614,35.568417,34.122215,34.251827,4164400,0.0,0
2011-10-20,PRU,34.388264,35.466095,34.040356,35.302372,4964600,0.0,0
2011-10-21,PRU,35.677578,36.32564,35.384243,36.311996,5701900,0.0,0
2011-10-24,PRU,36.25058,37.294304,36.15508,37.19198,6034100,0.0,0
2011-10-25,PRU,36.789516,36.789516,35.268272,35.40471,5848700,0.0,0
2011-10-26,PRU,36.1892,36.74858,35.084084,36.509823,6325900,0.0,0
2011-10-27,PRU,38.22889,39.531837,37.93556,39.10207,6205500,0.0,0
2011-10-28,PRU,38.81556,39.21804,38.494938,39.088425,4982700,0.0,0
2011-10-31,PRU,37.39664,38.208424,36.946407,36.973694,5841300,0.0,0
2011-11-01,PRU,35.28873,36.311985,34.804386,35.145473,6054200,0.0,0
2011-11-02,PRU,35.99819,36.762222,35.814007,36.612144,4452500,0.0,0
2011-11-03,PRU,35.78672,36.33246,34.122223,36.1892,8070400,0.0,0
2011-11-04,PRU,35.650288,35.861763,35.00905,35.602535,14079900,0.0,0
2011-11-07,PRU,35.472916,36.414314,35.043148,36.36656,13556400,0.0,0
2011-11-08,PRU,36.74858,37.396645,36.13463,37.164707,5512000,0.0,0
2011-11-09,PRU,35.732143,35.909508,35.08408,35.384235,8167000,0.0,0
2011-11-10,PRU,36.07322,36.48252,35.384228,36.093685,4407900,0.0,0
2011-11-11,PRU,36.680363,37.239742,36.680363,36.87137,3341100,0.0,0
2011-11-14,PRU,36.64625,37.04191,36.20284,36.53028,3710100,0.0,0
2011-11-15,PRU,36.161903,36.885002,35.62981,36.421127,3886700,0.0,0
2011-11-16,PRU,35.848118,36.40068,35.343315,35.40471,5985800,0.0,0
2011-11-17,PRU,35.452446,35.63663,34.26547,34.442833,6702100,0.0,0
2011-11-18,PRU,34.843178,34.871273,34.02144,34.08465,9723400,1.45,0
2011-11-21,PRU,33.43146,33.895008,33.101364,33.600025,5574300,0.0,0
2011-11-22,PRU,33.410393,33.94417,32.939823,32.97494,5067500,0.0,0
2011-11-23,PRU,32.53246,32.553528,31.724766,31.724766,4880000,0.0,0
2011-11-25,PRU,31.57026,32.29367,31.387648,31.542164,1780100,0.0,0
2011-11-28,PRU,32.890663,33.185642,32.53949,32.981964,5190800,0.0,0
2011-11-29,PRU,33.052193,33.424435,32.736137,32.911724,3201300,0.0,0
2011-11-30,PRU,34.358562,35.65087,33.993343,35.56659,5655600,0.0,0
2011-12-01,PRU,35.12411,35.482304,34.70973,35.088993,3206600,0.0,0
2011-12-02,PRU,35.47528,36.15655,35.292675,35.398026,3452900,0.0,0
2011-12-05,PRU,35.995007,36.83782,35.805374,36.212734,3422400,0.0,0
2011-12-06,PRU,36.247856,36.402374,35.756218,36.107388,3626700,0.0,0
2011-12-07,PRU,35.784306,36.521763,35.208385,36.318085,3212400,0.0,0
2011-12-08,PRU,35.735146,35.735146,34.55521,34.681633,4405300,0.0,0
2011-12-09,PRU,34.948524,35.812405,34.87127,35.391,7174200,0.0,0
2011-12-12,PRU,34.71675,34.71675,33.77561,34.147854,4023800,0.0,0
2011-12-13,PRU,34.379627,34.892338,33.143505,33.550865,4136900,0.0,0
2011-12-14,PRU,33.326115,33.87394,32.834476,33.473606,4330500,0.0,0
2011-12-15,PRU,34.105717,34.23214,33.57896,33.649193,3588900,0.0,0
2011-12-16,PRU,33.923096,34.23915,33.550858,33.76156,5708100,0.0,0
2011-12-19,PRU,33.97226,33.993332,32.848515,32.996006,3592200,0.0,0
2011-12-20,PRU,33.69836,34.723778,33.564915,34.527122,4994700,0.0,0
2011-12-21,PRU,34.54818,34.75186,34.04952,34.64651,3725900,0.0,0
2011-12-22,PRU,34.80807,35.531483,34.667603,35.454224,2963400,0.0,0
2011-12-23,PRU,35.636818,35.805378,35.257553,35.763237,1860900,0.0,0
2011-12-27,PRU,35.531464,35.819424,35.292667,35.46123,1948500,0.0,0
2011-12-28,PRU,35.56659,35.56659,34.716755,34.76592,2416600,0.0,0
2011-12-29,PRU,34.801033,35.503376,34.723778,35.334816,1844900,0.0,0
2011-12-30,PRU,35.180298,35.405045,35.117085,35.201366,1961500,0.0,0
2012-01-03,PRU,36.149536,36.584988,35.882645,36.030136,3403700,0.0,0
2012-01-04,PRU,35.693,36.31106,35.40504,36.170593,2967900,0.0,0
2012-01-05,PRU,35.861576,37.196026,35.552544,36.901043,3350500,0.0,0
2012-01-06,PRU,36.964237,37.512062,36.662228,37.03447,3103800,0.0,0
2012-01-09,PRU,37.097694,37.245186,36.56392,36.704384,2555900,0.0,0
2012-01-10,PRU,37.36457,37.785976,37.252197,37.519085,3341200,0.0,0
2012-01-11,PRU,37.36459,38.263584,37.20305,38.17228,3828700,0.0,0
2012-01-12,PRU,38.319763,38.748188,38.242504,38.70605,3998900,0.0,0
2012-01-13,PRU,38.179302,38.986996,37.462914,38.804386,3697000,0.0,0
2012-01-17,PRU,39.099365,39.303043,38.214417,38.36893,3647500,0.0,0
2012-01-18,PRU,38.270588,39.548847,38.109047,39.4154,3639100,0.0,0
2012-01-19,PRU,39.64017,40.25121,39.605053,39.99134,2990700,0.0,0
2012-01-20,PRU,39.87896,40.707726,39.8017,40.28632,3764500,0.0,0
2012-01-23,PRU,40.223106,41.2415,40.138824,40.9114,2799500,0.0,0
2012-01-24,PRU,40.511078,40.995693,40.27228,40.792015,2601500,0.0,0
2012-01-25,PRU,40.588337,40.827133,39.92813,40.58131,4517900,0.0,0
2012-01-26,PRU,40.728794,40.981636,37.715748,39.043175,10553000,0.0,0
2012-01-27,PRU,38.755207,40.391663,38.691998,40.187984,6569800,0.0,0
2012-01-30,PRU,39.696358,40.454887,39.34519,40.300373,3292200,0.0,0
