date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,ABMD,11.49,11.68,11.11,11.24,182900,0,0
2011-09-09,ABMD,11.09,11.14,10.42,10.77,392200,0,0
2011-09-12,ABMD,10.57,10.9,10.45,10.71,240900,0,0
2011-09-13,ABMD,10.78,10.99,10.71,10.9,171000,0,0
2011-09-14,ABMD,10.95,11.47,10.73,11.23,280300,0,0
2011-09-15,ABMD,11.35,11.91,11.33,11.85,177900,0,0
2011-09-16,ABMD,11.93,12.18,11.68,12.13,343600,0,0
2011-09-19,ABMD,11.84,12.09,11.56,11.58,115200,0,0
2011-09-20,ABMD,11.63,11.92,11.41,11.48,119700,0,0
2011-09-21,ABMD,11.46,11.65,11.05,11.07,133200,0,0
2011-09-22,ABMD,10.91,11.33,10.56,10.78,244500,0,0
2011-09-23,ABMD,10.77,10.89,10.38,10.51,168700,0,0
2011-09-26,ABMD,10.61,10.88,10.44,10.86,122000,0,0
2011-09-27,ABMD,11.15,11.77,10.98,11.61,177700,0,0
2011-09-28,ABMD,11.58,11.6,11.02,11.03,150200,0,0
2011-09-29,ABMD,11.36,11.52,10.57,10.92,85100,0,0
2011-09-30,ABMD,10.7,11.41,10.7,11.03,267300,0,0
2011-10-03,ABMD,10.9,11.06,10.01,10.09,237700,0,0
2011-10-04,ABMD,9.98,11.19,9.98,11.13,216300,0,0
2011-10-05,ABMD,11.25,11.8,11.02,11.67,150800,0,0
2011-10-06,ABMD,11.7,11.72,11.39,11.59,171900,0,0
2011-10-07,ABMD,11.61,11.75,11.25,11.43,172600,0,0
2011-10-10,ABMD,11.68,12.26,11.66,12.17,167500,0,0
2011-10-11,ABMD,12.01,12.1,11.61,11.72,108300,0,0
2011-10-12,ABMD,11.87,12.48,11.77,12.38,127200,0,0
2011-10-13,ABMD,12.25,12.25,11.96,12.04,111500,0,0
2011-10-14,ABMD,12.17,12.33,11.95,12.3,151900,0,0
2011-10-17,ABMD,12.22,12.34,11.63,11.74,124800,0,0
2011-10-18,ABMD,11.8,11.95,11.61,11.85,149600,0,0
2011-10-19,ABMD,11.83,11.97,11.72,11.79,224700,0,0
2011-10-20,ABMD,11.82,11.85,11.38,11.67,112900,0,0
2011-10-21,ABMD,11.95,11.96,11.64,11.7,178600,0,0
2011-10-24,ABMD,11.72,12.51,11.72,12.49,197700,0,0
2011-10-25,ABMD,12.38,12.86,12.25,12.78,240300,0,0
2011-10-26,ABMD,12.91,13.95,12.71,13.76,379500,0,0
2011-10-27,ABMD,14.31,15.55,13.3,15.13,507900,0,0
2011-10-28,ABMD,14.3,15.86,14.3,15.28,386300,0,0
2011-10-31,ABMD,14.96,15.53,14.56,15.06,369700,0,0
2011-11-01,ABMD,14.4,15.18,14.23,14.33,371500,0,0
2011-11-02,ABMD,14.72,14.72,14.09,14.51,164600,0,0
2011-11-03,ABMD,16.08,17.85,15.12,17.77,867600,0,0
2011-11-04,ABMD,17.44,20.0,17.44,18.73,1363200,0,0
2011-11-07,ABMD,18.4,18.86,18.15,18.74,456600,0,0
2011-11-08,ABMD,18.88,19.38,18.7,19.29,603500,0,0
2011-11-09,ABMD,18.55,19.08,18.33,18.46,308200,0,0
2011-11-10,ABMD,18.7,18.99,18.26,18.58,242700,0,0
2011-11-11,ABMD,18.86,19.48,18.62,19.41,400300,0,0
2011-11-14,ABMD,19.34,19.53,18.46,18.67,350600,0,0
2011-11-15,ABMD,18.52,19.47,18.42,19.39,397400,0,0
2011-11-16,ABMD,19.04,19.7,18.65,18.73,306500,0,0
2011-11-17,ABMD,18.73,19.27,18.66,18.74,221800,0,0
2011-11-18,ABMD,18.76,18.99,18.31,18.39,185100,0,0
2011-11-21,ABMD,17.99,18.24,17.52,17.79,306100,0,0
2011-11-22,ABMD,17.86,18.22,17.62,17.66,159400,0,0
2011-11-23,ABMD,17.53,17.9,17.35,17.59,175500,0,0
2011-11-25,ABMD,17.5,17.76,17.34,17.35,152900,0,0
2011-11-28,ABMD,17.88,18.46,17.34,18.44,235600,0,0
2011-11-29,ABMD,18.43,19.17,18.2,18.96,198900,0,0
2011-11-30,ABMD,19.71,20.25,19.56,20.14,517800,0,0
2011-12-01,ABMD,19.95,20.14,19.71,19.91,238300,0,0
2011-12-02,ABMD,20.16,20.3,19.63,19.89,271200,0,0
2011-12-05,ABMD,20.38,20.48,19.9,20.3,279900,0,0
2011-12-06,ABMD,20.32,20.6,20.07,20.6,262400,0,0
2011-12-07,ABMD,20.42,20.73,19.92,20.55,189200,0,0
2011-12-08,ABMD,20.26,20.69,19.74,19.91,167700,0,0
2011-12-09,ABMD,20.21,21.17,19.82,21.11,370500,0,0
2011-12-12,ABMD,20.86,20.99,20.18,20.59,182000,0,0
2011-12-13,ABMD,20.92,21.5,20.34,20.44,438600,0,0
2011-12-14,ABMD,20.16,20.36,19.6,20.0,382700,0,0
2011-12-15,ABMD,20.3,20.38,19.72,19.77,231100,0,0
2011-12-16,ABMD,20.02,20.35,19.24,19.25,734000,0,0
2011-12-19,ABMD,18.36,19.04,18.16,18.25,524500,0,0
2011-12-20,ABMD,18.73,18.93,18.07,18.19,477000,0,0
2011-12-21,ABMD,18.08,18.25,17.76,17.9,314500,0,0
2011-12-22,ABMD,18.0,18.69,17.86,18.52,422900,0,0
2011-12-23,ABMD,18.47,18.69,18.27,18.47,166300,0,0
2011-12-27,ABMD,18.38,18.61,18.23,18.36,178800,0,0
2011-12-28,ABMD,18.38,18.43,18.15,18.25,141100,0,0
2011-12-29,ABMD,18.27,18.49,18.23,18.38,144300,0,0
2011-12-30,ABMD,18.32,18.61,18.22,18.47,169600,0,0
2012-01-03,ABMD,18.97,19.09,18.22,18.25,284300,0,0
2012-01-04,ABMD,18.12,18.5,17.96,18.11,180400,0,0
