date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-12,ADS,82.755104,84.64611,82.25895,84.63676,695100,0.0,0
2011-09-13,ADS,85.179726,86.12524,83.635086,84.5806,659100,0.0,0
2011-09-14,ADS,85.376305,88.11921,83.58828,86.91158,686700,0.0,0
2011-09-15,ADS,88.353264,90.57193,87.95072,89.25196,970700,0.0,0
2011-09-16,ADS,88.8775,90.09448,88.652824,88.971115,691600,0.0,0
2011-09-19,ADS,87.585625,90.609375,86.9116,89.69195,647000,0.0,0
2011-09-20,ADS,90.21619,94.597336,90.21619,92.85611,1832700,0.0,0
2011-09-21,ADS,92.95909,94.08246,90.431496,90.45958,1379400,0.0,0
2011-09-22,ADS,87.81965,87.95071,85.713326,87.41711,911700,0.0,0
2011-09-23,ADS,86.6682,87.40775,83.12022,85.69461,1114300,0.0,0
2011-09-26,ADS,86.331184,88.175385,84.95505,88.100494,636300,0.0,0
2011-09-27,ADS,91.40506,91.40506,88.63408,89.139595,619800,0.0,0
2011-09-28,ADS,89.68257,90.29106,87.22051,87.44519,669600,0.0,0
2011-09-29,ADS,88.93366,89.35492,85.57291,87.66987,815700,0.0,0
2011-09-30,ADS,86.17205,88.27837,86.17205,86.78054,698300,0.0,0
2011-10-03,ADS,86.12523,86.65883,82.071724,82.45554,1377100,0.0,0
2011-10-04,ADS,81.64112,83.47597,79.488,83.33554,1300000,0.0,0
2011-10-05,ADS,83.5602,85.75078,82.60533,85.13293,890100,0.0,0
2011-10-06,ADS,85.544846,88.93369,85.095505,88.16605,863700,0.0,0
2011-10-07,ADS,88.62473,90.01023,87.47328,88.559204,664700,0.0,0
2011-10-10,ADS,89.97277,91.1804,89.72937,90.86211,480300,0.0,0
2011-10-11,ADS,90.02895,91.517426,89.58897,90.68426,456900,0.0,0
2011-10-12,ADS,91.49871,94.32587,91.358284,91.97614,1135000,0.0,0
2011-10-13,ADS,90.69361,90.69361,85.797585,86.60267,3398500,0.0,0
2011-10-14,ADS,87.857086,88.25963,87.4171,88.13793,1059900,0.0,0
2011-10-17,ADS,87.7822,88.31581,86.59331,86.75245,587300,0.0,0
2011-10-18,ADS,86.59333,89.44857,86.41546,88.30647,1170800,0.0,0
2011-10-19,ADS,87.93199,88.952385,86.54649,87.06138,1033200,0.0,0
2011-10-20,ADS,89.82298,90.5719,86.35925,88.69025,1783600,0.0,0
2011-10-21,ADS,88.97111,92.21016,88.96174,91.73273,1834000,0.0,0
2011-10-24,ADS,92.12592,95.917305,91.69529,94.50372,1272300,0.0,0
2011-10-25,ADS,94.03565,94.80329,92.32251,92.65016,823500,0.0,0
2011-10-26,ADS,94.97179,94.97179,92.94035,94.419464,1080700,0.0,0
2011-10-27,ADS,98.28572,98.9223,95.383675,97.84573,1893400,0.0,0
2011-10-28,ADS,97.75215,98.47299,96.44155,98.26704,1086900,0.0,0
2011-10-31,ADS,97.97683,98.098526,95.89859,95.89859,964900,0.0,0
2011-11-01,ADS,93.801605,95.16838,92.60334,93.78288,917200,0.0,0
2011-11-02,ADS,95.31817,95.47731,93.64247,94.92499,738900,0.0,0
2011-11-03,ADS,100.335884,100.335884,94.2884,96.18877,812300,0.0,0
2011-11-04,ADS,95.46795,96.7411,94.39138,96.02027,671800,0.0,0
2011-11-07,ADS,96.01091,96.750465,94.55989,96.02027,468400,0.0,0
2011-11-08,ADS,96.32921,96.92834,94.39139,96.70367,582700,0.0,0
2011-11-09,ADS,94.30712,95.327515,93.45523,94.07308,940900,0.0,0
2011-11-10,ADS,95.51476,96.5258,92.94973,94.082466,590900,0.0,0
2011-11-11,ADS,94.7284,96.141975,94.7284,95.439865,343600,0.0,0
2011-11-14,ADS,94.86882,96.057724,94.17608,95.02797,464200,0.0,0
2011-11-15,ADS,94.35394,95.57092,93.15568,94.87818,680900,0.0,0
2011-11-16,ADS,94.05435,96.13259,93.165016,93.45522,720700,0.0,0
2011-11-17,ADS,93.17439,93.76417,89.87917,90.45022,1130500,0.0,0
2011-11-18,ADS,90.28172,90.824684,88.840065,89.71068,977600,0.0,0
2011-11-21,ADS,88.03496,89.560875,87.17371,89.28939,762500,0.0,0
2011-11-22,ADS,88.88686,89.34558,88.02561,88.709,562000,0.0,0
2011-11-23,ADS,87.51073,88.0256,86.874146,87.492,707800,0.0,0
2011-11-25,ADS,87.28607,87.89457,87.04268,87.13629,218600,0.0,0
2011-11-28,ADS,88.98048,90.71234,88.55921,90.24427,839300,0.0,0
2011-11-29,ADS,90.347244,91.742096,89.81364,91.16168,827700,0.0,0
2011-11-30,ADS,93.380356,95.973465,93.07143,95.8705,1151100,0.0,0
2011-12-01,ADS,95.71133,97.79893,95.36496,96.73173,907900,0.0,0
2011-12-02,ADS,97.84575,98.519775,97.134285,98.15468,766900,0.0,0
2011-12-05,ADS,100.02696,100.47631,97.67724,98.276375,908800,0.0,0
2011-12-06,ADS,97.83641,97.83641,95.402435,96.48836,613000,0.0,0
2011-12-07,ADS,96.11387,97.096825,94.87816,96.69428,856400,0.0,0
2011-12-08,ADS,96.53516,96.53516,94.96243,95.505394,538400,0.0,0
2011-12-09,ADS,95.81432,97.57428,95.72071,97.07812,651100,0.0,0
2011-12-12,ADS,96.37601,96.90025,95.52412,96.441536,470400,0.0,0
2011-12-13,ADS,96.97514,98.05171,95.0935,95.683266,559300,0.0,0
2011-12-14,ADS,94.94371,95.05605,93.22121,93.670555,490700,0.0,0
2011-12-15,ADS,95.93603,96.18878,94.70968,95.065414,701800,0.0,0
