date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-11-17,APTV,16.277706,16.79093,16.277706,16.338985,20946098,0.0,0.0
2011-11-18,APTV,16.35431,16.49219,15.894703,16.086205,3243171,0.0,0.0
2011-11-21,APTV,16.086205,16.262386,15.335514,15.549997,2823115,0.0,0.0
2011-11-22,APTV,15.549997,15.864061,15.05209,15.243593,3565519,0.0,0.0
2011-11-23,APTV,15.090394,15.128695,14.722709,15.036773,1266250,0.0,0.0
2011-11-25,APTV,14.975489,15.182311,14.937189,15.05209,333563,0.0,0.0
2011-11-28,APTV,15.212953,15.565316,15.067411,15.350835,835458,0.0,0.0
2011-11-29,APTV,15.320196,15.320196,15.090393,15.312535,637062,0.0,0.0
2011-11-30,APTV,15.435097,16.438568,15.412115,15.963643,679652,0.0,0.0
2011-12-01,APTV,16.047901,16.1245,15.588294,15.9406595,572521,0.0,0.0
2011-12-02,APTV,16.047905,16.43091,16.009604,16.369629,697309,0.0,0.0
2011-12-05,APTV,16.430912,16.783278,16.39261,16.676035,2466885,0.0,0.0
2011-12-06,APTV,16.576448,17.043715,16.553467,16.951792,625251,0.0,0.0
2011-12-07,APTV,16.798594,16.928816,16.714333,16.852213,188017,0.0,0.0
2011-12-08,APTV,16.637735,16.806257,16.561134,16.614754,450835,0.0,0.0
2011-12-09,APTV,16.561132,16.836895,16.277708,16.660713,587791,0.0,0.0
2011-12-12,APTV,16.392605,16.538147,16.277704,16.476866,514780,0.0,0.0
2011-12-13,APTV,16.584106,16.714329,16.247063,16.323664,666529,0.0,0.0
2011-12-14,APTV,16.147488,16.231749,15.741503,15.810443,1255752,0.0,0.0
2011-12-15,APTV,16.070885,16.760292,15.925342,16.055563,850490,0.0,0.0
2011-12-16,APTV,16.055569,16.469213,15.887047,16.063229,250888,0.0,0.0
2011-12-19,APTV,16.139824,16.216425,15.902361,16.078543,177757,0.0,0.0
2011-12-20,APTV,16.415586,16.61475,16.216425,16.469208,381999,0.0,0.0
2011-12-21,APTV,16.369623,16.607086,16.308342,16.392603,320440,0.0,0.0
2011-12-22,APTV,16.415588,16.737312,16.415588,16.69135,446779,0.0,0.0
2011-12-23,APTV,16.714334,17.19692,16.568792,16.806255,647203,0.0,0.0
2011-12-27,APTV,17.533958,17.533958,16.377283,16.584106,528618,0.0,0.0
2011-12-28,APTV,16.676033,16.714334,16.155146,16.231749,172746,0.0,0.0
2011-12-29,APTV,16.254723,16.415585,16.101522,16.407927,344896,0.0,0.0
2011-12-30,APTV,16.438566,16.576448,16.155142,16.499847,152704,0.0,0.0
