date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,UDR,18.879045,19.11282,18.701944,18.857794,1642800,0.0,0
2011-09-09,UDR,18.638193,18.864883,18.113972,18.269823,2143200,0.0,0
2011-09-12,UDR,18.007708,18.404415,17.951035,18.404415,2247500,0.0,0
2011-09-13,UDR,18.496513,18.59569,18.191898,18.553186,2356100,0.0,0
2011-09-14,UDR,18.687778,18.701948,18.241484,18.574434,2304500,0.0,0
2011-09-15,UDR,18.716116,18.801126,18.539015,18.73737,2460900,0.0,0
2011-09-16,UDR,18.680693,18.942802,18.425665,18.88613,4513200,0.0,0
2011-09-19,UDR,18.574436,18.666529,18.383167,18.418587,2650600,0.0,0
2011-09-20,UDR,18.46817,18.539011,18.156471,18.156471,2496000,0.0,0
2011-09-21,UDR,18.135218,18.198975,16.97343,16.987598,4584900,0.0,0
2011-09-22,UDR,16.41379,16.831749,16.017082,16.158762,5020100,0.0,0
2011-09-23,UDR,16.087925,16.328785,15.995833,16.279196,2740400,0.0,0
2011-09-26,UDR,16.442131,16.555477,16.095013,16.406712,2394500,0.0,0
2011-09-27,UDR,16.760912,16.803417,16.314617,16.44213,2517100,0.0,0
2011-09-28,UDR,16.449211,16.520052,15.868318,15.8754015,2817700,0.0,0
2011-09-29,UDR,16.215435,16.272108,15.832896,16.109175,2576500,0.0,0
2011-09-30,UDR,15.861232,16.095005,15.68413,15.68413,3155300,0.0,0
2011-10-03,UDR,15.613296,15.790398,14.713618,14.713618,3895400,0.0,0
2011-10-04,UDR,14.5790205,15.542455,14.196482,15.521202,4500000,0.0,0
2011-10-05,UDR,15.471613,15.514117,14.451507,15.216586,1952700,0.0,0
2011-10-06,UDR,15.152827,15.825814,15.018231,15.81873,2059100,0.0,0
2011-10-07,UDR,15.818728,16.109175,15.308676,15.308676,3039000,0.0,0
2011-10-10,UDR,15.599126,16.18002,15.528285,16.18002,2035400,0.0,0
2011-10-11,UDR,15.981661,16.087921,15.570785,15.655794,2533100,0.0,0
2011-10-12,UDR,15.791621,16.299183,15.705835,16.041828,2489300,0.2,0
2011-10-13,UDR,15.906007,16.12047,15.5843115,15.934603,2029800,0.0,0
2011-10-14,UDR,16.184807,16.45646,16.027534,16.392122,1863900,0.0,0
2011-10-17,UDR,16.206257,16.249147,15.734437,15.820222,2682800,0.0,0
2011-10-18,UDR,15.798775,16.46361,15.755882,16.435015,2368400,0.0,0
2011-10-19,UDR,16.40642,16.563692,16.22055,16.263443,2718300,0.0,0
2011-10-20,UDR,16.270588,16.399267,15.86311,16.299183,1748700,0.0,0
2011-10-21,UDR,16.477905,16.771004,16.384972,16.670921,2584500,0.0,0
2011-10-24,UDR,16.720957,17.157032,16.620874,17.085545,2194800,0.0,0
2011-10-25,UDR,16.964018,17.106993,16.685217,16.871084,2335400,0.0,0
2011-10-26,UDR,17.106997,17.221376,16.685219,17.157038,1997700,0.0,0
2011-10-27,UDR,17.743238,18.350883,17.457287,18.250801,3956900,0.0,0
2011-10-28,UDR,18.165005,18.222195,17.621698,17.771824,2718000,0.0,0
2011-10-31,UDR,17.22138,17.979149,17.157042,17.821877,3007400,0.0,0
2011-11-01,UDR,17.199928,17.671747,17.099848,17.185633,3317700,0.0,0
2011-11-02,UDR,17.564516,17.871914,17.300013,17.614557,2386200,0.0,0
