date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,ALXN,59.42,60.14,58.32,59.69,1244884,0,0
2011-09-09,ALXN,59.25,59.565,57.6,58.07,981029,0,0
2011-09-12,ALXN,57.09,58.9,56.85,58.81,1073697,0,0
2011-09-13,ALXN,59.13,59.93,58.34,59.87,1172593,0,0
2011-09-14,ALXN,60.09,60.72,58.75,60.09,1270732,0,0
2011-09-15,ALXN,61.82,64.17,61.82,64.08,2230114,0,0
2011-09-16,ALXN,63.65,63.74,61.62,62.07,2319318,0,0
2011-09-19,ALXN,61.57,64.395,61.0,63.85,1384148,0,0
2011-09-20,ALXN,64.12,66.9,63.71,66.2,2212582,0,0
2011-09-21,ALXN,66.1,67.75,65.45,65.71,2181191,0,0
2011-09-22,ALXN,63.96,64.96,62.2,63.37,1734176,0,0
2011-09-23,ALXN,63.09,67.58,62.47,66.15,2715563,0,0
2011-09-26,ALXN,67.41,68.46,64.84,66.18,2169402,0,0
2011-09-27,ALXN,67.48,68.5,66.76,66.99,1979201,0,0
2011-09-28,ALXN,67.62,68.31,65.81,65.9,1361201,0,0
2011-09-29,ALXN,66.98,67.0,62.5,64.23,1871700,0,0
2011-09-30,ALXN,63.59,65.12,62.49,64.06,1722057,0,0
2011-10-03,ALXN,63.8,64.12,59.42,60.87,2615028,0,0
2011-10-04,ALXN,60.27,62.99,59.98,62.68,2772719,0,0
2011-10-05,ALXN,63.16,65.0,60.92,64.71,2757866,0,0
2011-10-06,ALXN,64.92,65.87,64.29,65.64,1182694,0,0
2011-10-07,ALXN,65.48,66.04,63.47,65.18,1028028,0,0
2011-10-10,ALXN,66.11,68.16,65.6201,67.88,966659,0,0
2011-10-11,ALXN,67.72,70.2,67.42,68.83,1545634,0,0
2011-10-12,ALXN,69.11,69.45,65.43,65.97,1959118,0,0
2011-10-13,ALXN,65.99,67.98,65.41,67.38,1182542,0,0
2011-10-14,ALXN,68.08,68.18,66.03,66.8,927533,0,0
2011-10-17,ALXN,66.77,67.79,65.68,66.21,634312,0,0
2011-10-18,ALXN,66.39,67.23,64.67,66.72,896530,0,0
2011-10-19,ALXN,66.52,67.82,65.6392,66.06,1072240,0,0
2011-10-20,ALXN,68.72,69.79,65.28,66.76,2379065,0,0
2011-10-21,ALXN,67.67,69.41,67.22,68.38,1828207,0,0
2011-10-24,ALXN,68.24,70.42,68.2,69.56,1681994,0,0
2011-10-25,ALXN,69.6,69.95,66.73,66.91,958999,0,0
2011-10-26,ALXN,66.77,67.6,65.28,66.85,1191972,0,0
2011-10-27,ALXN,67.84,68.1468,66.83,67.54,990966,0,0
2011-10-28,ALXN,67.25,68.49,67.0,67.93,906245,0,0
2011-10-31,ALXN,68.0,68.98,67.4406,67.51,1477069,0,0
2011-11-01,ALXN,66.04,66.75,63.5,66.27,1509423,0,0
2011-11-02,ALXN,66.55,67.32,64.98,66.11,1007800,0,0
2011-11-03,ALXN,66.73,67.05,64.81,65.2,1085215,0,0
2011-11-04,ALXN,65.24,66.42,64.76,66.04,1058657,0,0
2011-11-07,ALXN,66.02,66.6,64.25,65.64,823268,0,0
2011-11-08,ALXN,65.7,66.18,64.47,64.84,1336344,0,0
2011-11-09,ALXN,63.86,65.22,62.77,64.07,1383982,0,0
2011-11-10,ALXN,64.69,65.05,62.72,63.6,1054923,0,0
2011-11-11,ALXN,63.81,64.72,63.0,64.25,1096041,0,0
2011-11-14,ALXN,64.37,68.16,63.51,66.81,2403701,0,0
2011-11-15,ALXN,66.81,67.7,66.095,67.32,1822970,0,0
2011-11-16,ALXN,66.9,67.3572,65.99,66.17,1247901,0,0
