date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-12,GT,9.548058,9.699472,8.924583,9.200693,13435700,0.0,0
2011-09-13,GT,9.254139,9.761825,9.173978,9.592596,9671300,0.0,0
2011-09-14,GT,9.690569,9.922146,9.316484,9.779636,7799000,0.0,0
2011-09-15,GT,9.8597975,10.100281,9.699476,9.850891,6549500,0.0,0
2011-09-16,GT,9.859796,10.002303,9.761821,9.877609,5914300,0.0,0
2011-09-19,GT,9.619312,9.886516,9.565871,9.761821,4998800,0.0,0
2011-09-20,GT,9.79745,9.886518,9.494619,9.521339,4394800,0.0,0
2011-09-21,GT,9.654943,9.672756,8.906774,8.915681,5447200,0.0,0
2011-09-22,GT,8.568315,8.782077,8.149696,8.36346,8474500,0.0,0
2011-09-23,GT,8.30111,8.85333,8.238763,8.782076,6278400,0.0,0
2011-09-26,GT,8.906769,9.058185,8.461431,9.049277,6591600,0.0,0
2011-09-27,GT,9.450086,9.788543,9.334297,9.387738,6857300,0.0,0
2011-09-28,GT,9.414458,9.521339,8.835519,8.862239,3586500,0.0,0
2011-09-29,GT,9.129441,9.494618,9.067094,9.307576,8916600,0.0,0
2011-09-30,GT,9.111629,9.405553,8.933494,8.986935,6906900,0.0,0
2011-10-03,GT,8.906774,9.102723,8.327834,8.345647,8720200,0.0,0
2011-10-04,GT,8.096255,8.826611,7.597476,8.7998905,8300000,0.0,0
2011-10-05,GT,8.790983,9.191788,8.577221,9.12944,6184700,0.0,0
2011-10-06,GT,9.147257,9.583689,8.986935,9.556968,5706300,0.0,0
2011-10-07,GT,9.7351,9.797447,9.129439,9.173973,7037800,0.0,0
2011-10-10,GT,9.503524,9.78854,9.450083,9.7351,5374000,0.0,0
2011-10-11,GT,9.663847,10.224973,9.592592,10.189345,6208700,0.0,0
2011-10-12,GT,10.322951,10.688128,10.322951,10.554527,8557000,0.0,0
2011-10-13,GT,10.438734,10.607963,10.189344,10.5278015,5266200,0.0,0
2011-10-14,GT,10.723753,10.955329,10.554524,10.928609,5705900,0.0,0
2011-10-17,GT,10.821727,10.928609,10.483271,10.536711,4756600,0.0,0
2011-10-18,GT,10.572339,11.195812,10.420923,11.017677,5815500,0.0,0
2011-10-19,GT,10.955331,11.044398,10.5189,10.616874,4389400,0.0,0
2011-10-20,GT,10.634685,10.839541,10.394202,10.803914,3434400,0.0,0
2011-10-21,GT,10.95533,11.614431,10.95533,11.552084,8055100,0.0,0
2011-10-24,GT,11.614431,12.460574,11.53427,12.148838,9813100,0.0,0
2011-10-25,GT,12.033048,12.041955,11.614429,11.881633,6256800,0.0,0
2011-10-26,GT,12.015236,12.095397,11.650059,11.988516,6471400,0.0,0
2011-10-27,GT,12.478389,12.825752,12.33588,12.603083,10843800,0.0,0
2011-10-28,GT,13.511574,13.778777,13.021701,13.21765,13223800,0.0,0
2011-10-31,GT,13.155303,13.2978115,12.514015,12.790125,8900000,0.0,0
2011-11-01,GT,12.05086,12.353691,11.578802,12.104301,10312300,0.0,0
2011-11-02,GT,12.416039,12.540734,12.086489,12.326972,5388300,0.0,0
2011-11-03,GT,12.611989,12.852472,12.104303,12.807939,7327300,0.0,0
2011-11-04,GT,12.665431,12.843566,12.273532,12.736685,5304500,0.0,0
2011-11-07,GT,12.718869,12.843565,12.264625,12.647615,4308000,0.0,0
2011-11-08,GT,12.736684,12.781219,12.371507,12.71887,5820100,0.0,0
2011-11-09,GT,12.20228,12.416043,11.783662,11.917264,7460800,0.0,0
2011-11-10,GT,12.148837,12.228997,11.801473,12.033049,5157300,0.0,0
2011-11-11,GT,12.25572,12.55855,12.228999,12.407135,4246100,0.0,0
2011-11-14,GT,12.291349,12.460578,12.095401,12.220096,3723200,0.0,0
2011-11-15,GT,12.131023,12.478388,12.041956,12.389319,8383300,0.0,0
2011-11-16,GT,12.220093,12.55855,12.104304,12.113212,6573800,0.0,0
2011-11-17,GT,12.113208,12.148834,11.454105,11.569894,7082400,0.0,0
2011-11-18,GT,11.667871,11.6945915,11.293787,11.365041,5650600,0.0,0
2011-11-21,GT,10.866263,10.937517,10.536713,10.812823,8202900,0.0,0
2011-11-22,GT,10.75938,11.115651,10.750473,10.999864,5537000,0.0,0
2011-11-23,GT,10.866264,10.910798,10.661408,10.697036,3575700,0.0,0
2011-11-25,GT,10.679219,10.857354,10.590152,10.625779,1593200,0.0,0
2011-11-28,GT,11.169091,11.578803,11.106744,11.489735,5116000,0.0,0
2011-11-29,GT,11.525362,11.650057,11.365041,11.4095745,3426500,0.0,0
2011-11-30,GT,12.041956,12.487294,11.952888,12.460573,7734800,0.0,0
2011-12-01,GT,12.389319,12.585269,12.175557,12.398227,5594400,0.0,0
2011-12-02,GT,12.620896,12.950447,12.540735,12.576363,5341300,0.0,0
2011-12-05,GT,12.914817,13.003884,12.594173,12.692147,3600600,0.0,0
2011-12-06,GT,12.6743355,12.861378,12.505108,12.709964,3237900,0.0,0
2011-12-07,GT,12.58527,12.83466,12.398228,12.727778,3425700,0.0,0
2011-12-08,GT,12.629805,12.852473,12.380414,12.407135,3653400,0.0,0
2011-12-09,GT,12.478389,13.084048,12.478389,12.959354,5676300,0.0,0
2011-12-12,GT,12.692151,12.772312,12.505109,12.727778,3390200,0.0,0
2011-12-13,GT,12.861378,12.96826,11.774753,11.952888,7291000,0.0,0
2011-12-14,GT,11.801473,11.9528885,11.658965,11.81038,5596900,0.0,0
2011-12-15,GT,12.024138,12.139927,11.828189,12.0508585,3511300,0.0,0
2011-12-16,GT,12.184464,12.344786,11.988515,12.095396,3734900,0.0,0
2011-12-19,GT,12.184464,12.2111845,11.632245,11.676778,3429600,0.0,0
2011-12-20,GT,11.9707,12.237904,11.952888,12.16665,4165600,0.0,0
2011-12-21,GT,12.211184,12.416039,12.006328,12.326972,3263600,0.0,0
2011-12-22,GT,12.424945,12.60308,12.398225,12.531826,2258600,0.0,0
2011-12-23,GT,12.620896,12.763404,12.424947,12.745591,2316100,0.0,0
2011-12-27,GT,12.736681,12.781216,12.549639,12.611986,2047600,0.0,0
2011-12-28,GT,12.638709,12.66543,12.300252,12.416039,2204500,0.0,0
2011-12-29,GT,12.469482,12.620897,12.407135,12.594177,1970300,0.0,0
2011-12-30,GT,12.620896,12.772311,12.558549,12.620896,1687000,0.0,0
2012-01-03,GT,12.977166,13.199836,12.914819,12.977166,3536100,0.0,0
2012-01-04,GT,12.843565,13.262184,12.69215,13.119675,4104600,0.0,0
2012-01-05,GT,12.994981,13.351251,12.879192,13.279997,4768300,0.0,0
2012-01-06,GT,13.297814,13.600645,13.17312,13.493763,4651000,0.0,0
2012-01-09,GT,13.493758,13.698615,13.493758,13.609547,4951400,0.0,0
2012-01-10,GT,13.90347,14.072699,12.024141,12.478387,23197700,0.0,0
2012-01-11,GT,12.318066,12.353693,11.979609,12.273532,8202900,0.0,0
2012-01-12,GT,12.326972,12.603082,12.291345,12.326972,6122900,0.0,0
2012-01-13,GT,12.175557,12.2111845,11.748032,12.024142,7099300,0.0,0
2012-01-17,GT,12.166649,12.398225,11.801472,11.899446,4931900,0.0,0
2012-01-18,GT,11.846006,12.19337,11.801473,12.015235,5769700,0.0,0
2012-01-19,GT,12.03305,12.291347,12.03305,12.255719,3469500,0.0,0
2012-01-20,GT,12.246813,12.273533,11.961796,12.157744,4259300,0.0,0
2012-01-23,GT,12.175557,12.291345,11.863819,12.059769,4238800,0.0,0
2012-01-24,GT,11.961797,12.202279,11.890542,12.193372,3706700,0.0,0
2012-01-25,GT,12.175557,12.2111845,11.9261675,12.095396,3604200,0.0,0
2012-01-26,GT,12.193369,12.433852,11.863818,11.979607,4619300,0.0,0
2012-01-27,GT,11.881634,12.157743,11.623338,12.024142,3136600,0.0,0
2012-01-30,GT,11.935074,11.935074,11.730219,11.854914,3744900,0.0,0
2012-01-31,GT,11.935073,11.988514,11.525361,11.578802,5486400,0.0,0
2012-02-01,GT,11.801473,11.988515,11.658964,11.828193,5404500,0.0,0
2012-02-02,GT,11.890541,11.970701,11.730219,11.828193,3706800,0.0,0
2012-02-03,GT,12.015234,12.362598,11.952888,12.344785,5265300,0.0,0
2012-02-06,GT,12.273532,12.505108,12.246812,12.451667,5155900,0.0,0
2012-02-07,GT,12.4962,12.585268,12.211184,12.478387,4130200,0.0,0
2012-02-08,GT,12.505107,12.683242,12.309157,12.424946,5074900,0.0,0
2012-02-09,GT,12.451664,12.772308,12.433851,12.611986,5358700,0.0,0
2012-02-10,GT,12.4694805,12.487294,12.264626,12.362599,4041800,0.0,0
2012-02-13,GT,12.531828,12.647615,12.424947,12.44276,6492700,0.0,0
2012-02-14,GT,11.80147,12.086486,11.27597,11.80147,24188100,0.0,0
2012-02-15,GT,11.828194,12.015236,11.641151,11.667872,7952200,0.0,0
2012-02-16,GT,11.667872,11.774754,11.578804,11.748033,6408100,0.0,0
2012-02-17,GT,11.846006,12.068676,11.748032,11.952888,6730200,0.0,0
2012-02-21,GT,12.00633,12.273533,11.943982,12.00633,4877500,0.0,0
2012-02-22,GT,12.015234,12.068675,11.632243,11.712403,5090800,0.0,0
2012-02-23,GT,11.7213125,11.837101,11.605525,11.78366,5935300,0.0,0
2012-02-24,GT,11.774753,11.846007,11.650058,11.676778,3878500,0.0,0
2012-02-27,GT,11.605524,11.605524,11.338321,11.525363,7382400,0.0,0
2012-02-28,GT,11.5164585,11.62334,11.463017,11.534271,4908700,0.0,0
2012-02-29,GT,11.50755,11.587711,11.356135,11.454109,3786900,0.0,0
2012-03-01,GT,11.498643,11.641151,11.409576,11.454109,5210600,0.0,0
2012-03-02,GT,11.445202,11.881634,11.3828535,11.685684,11245900,0.0,0
2012-03-05,GT,11.658964,11.658964,11.142371,11.329413,6086000,0.0,0
2012-03-06,GT,11.106746,11.160186,10.857355,10.910796,6840200,0.0,0
2012-03-07,GT,10.9197035,11.044398,10.866262,10.87517,5021600,0.0,0
2012-03-08,GT,10.990957,11.142372,10.964237,11.017677,4726800,0.0,0
2012-03-09,GT,11.017677,11.133466,10.955331,11.026585,4130600,0.0,0
2012-03-12,GT,11.044397,11.071118,10.768288,10.821728,4387800,0.0,0
2012-03-13,GT,10.919703,11.026584,10.839541,10.990956,6030600,0.0,0
2012-03-14,GT,10.990958,11.222535,10.901891,10.973145,5004900,0.0,0
2012-03-15,GT,10.98205,11.088931,10.875169,10.999864,4586300,0.0,0
2012-03-16,GT,11.06221,11.080024,10.830634,10.830634,4788900,0.0,0
2012-03-19,GT,10.821728,10.875169,10.7861,10.821728,4126900,0.0,0
2012-03-20,GT,10.732658,10.8128195,10.59015,10.759378,4445400,0.0,0
2012-03-21,GT,10.759378,10.83954,10.67031,10.759378,4948600,0.0,0
2012-03-22,GT,10.643595,10.705943,10.447645,10.4832735,5816900,0.0,0
2012-03-23,GT,10.599057,10.679218,10.45655,10.6079645,5293600,0.0,0
2012-03-26,GT,10.7148485,10.759383,10.581247,10.697036,3872300,0.0,0
2012-03-27,GT,10.705943,10.759383,10.536714,10.563434,7170900,0.0,0
2012-03-28,GT,10.57234,10.590155,10.162629,10.207163,6739900,0.0,0
2012-03-29,GT,10.118093,10.198254,9.993398,10.135906,4291400,0.0,0
2012-03-30,GT,10.207163,10.21607,9.859798,9.993401,5136900,0.0,0
2012-04-02,GT,9.95777,10.242786,9.922143,10.144813,5318800,0.0,0
2012-04-03,GT,10.091371,10.233878,9.931048,9.975582,4229100,0.0,0
2012-04-04,GT,9.859797,9.966678,9.699475,9.859797,6121900,0.0,0
2012-04-05,GT,9.806351,10.002299,9.788537,9.815258,4120600,0.0,0
