date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,NVR,625.04,634.61,622.55,633.5,37600,0,0
2011-09-09,NVR,630.9,630.9,610.18,614.0,51500,0,0
2011-09-12,NVR,607.4,616.24,603.08,615.85,44200,0,0
2011-09-13,NVR,617.6,624.78,613.74,616.5,55700,0,0
2011-09-14,NVR,620.6,636.23,620.51,631.16,57800,0,0
2011-09-15,NVR,631.97,633.03,618.01,630.73,44500,0,0
2011-09-16,NVR,627.16,632.51,621.41,623.5,86900,0,0
2011-09-19,NVR,619.95,644.0,612.81,642.11,63000,0,0
2011-09-20,NVR,645.02,652.0,634.53,635.63,45800,0,0
2011-09-21,NVR,629.27,634.0,616.01,618.42,33400,0,0
2011-09-22,NVR,612.5,614.9,601.38,606.0,50000,0,0
2011-09-23,NVR,603.05,610.45,600.78,609.02,42800,0,0
2011-09-26,NVR,610.42,618.4,605.33,618.4,24600,0,0
2011-09-27,NVR,627.0,636.03,619.53,620.98,23700,0,0
2011-09-28,NVR,622.51,627.44,606.02,611.5,26200,0,0
2011-09-29,NVR,617.5,620.03,605.63,614.16,20000,0,0
2011-09-30,NVR,610.5,614.4,602.33,603.98,41500,0,0
2011-10-03,NVR,601.5,606.0,563.25,575.28,72100,0,0
2011-10-04,NVR,571.0,588.91,554.71,587.37,44300,0,0
2011-10-05,NVR,587.39,606.3,577.56,603.0,35400,0,0
2011-10-06,NVR,598.5,602.75,589.72,593.75,88000,0,0
2011-10-07,NVR,598.5,616.34,590.07,607.7,42100,0,0
2011-10-10,NVR,611.28,631.0,611.28,629.24,22500,0,0
2011-10-11,NVR,623.85,633.25,617.55,626.2,39600,0,0
2011-10-12,NVR,633.97,637.5,628.35,634.9,38900,0,0
2011-10-13,NVR,631.67,639.99,627.21,632.0,37700,0,0
2011-10-14,NVR,634.9,638.51,626.0,634.12,23000,0,0
2011-10-17,NVR,633.19,633.19,617.01,624.99,27200,0,0
2011-10-18,NVR,630.1,659.0,620.0,655.0,44800,0,0
2011-10-19,NVR,657.52,666.53,648.04,649.14,57800,0,0
2011-10-20,NVR,645.16,649.89,637.51,642.83,44500,0,0
2011-10-21,NVR,649.0,651.6,639.47,646.75,44600,0,0
2011-10-24,NVR,648.6,657.5,642.16,653.46,70200,0,0
2011-10-25,NVR,647.0,651.5,625.51,633.73,53100,0,0
2011-10-26,NVR,636.04,641.87,621.0,629.75,41200,0,0
2011-10-27,NVR,642.0,661.25,635.56,650.16,48500,0,0
2011-10-28,NVR,651.71,659.95,648.01,652.0,34500,0,0
2011-10-31,NVR,650.94,650.94,640.0,642.75,53700,0,0
2011-11-01,NVR,637.5,638.0,621.87,629.02,54400,0,0
2011-11-02,NVR,634.7,637.56,627.5,632.0,25700,0,0
2011-11-03,NVR,632.34,641.99,628.38,636.0,51400,0,0
2011-11-04,NVR,634.0,634.08,624.15,632.8,24500,0,0
2011-11-07,NVR,633.89,640.0,622.74,637.8,30400,0,0
2011-11-08,NVR,635.5,646.89,630.11,642.95,42000,0,0
2011-11-09,NVR,627.2,636.0,617.51,626.0,105300,0,0
2011-11-10,NVR,634.0,640.75,625.45,636.67,31300,0,0
2011-11-11,NVR,642.8,647.3,633.6,643.64,28000,0,0
2011-11-14,NVR,643.64,643.76,633.58,638.43,25400,0,0
2011-11-15,NVR,634.2,640.0,630.83,637.81,21900,0,0
2011-11-16,NVR,632.5,647.48,630.35,639.61,39600,0,0
2011-11-17,NVR,643.0,650.12,634.69,637.3,40500,0,0
2011-11-18,NVR,636.25,636.51,626.04,630.47,47900,0,0
2011-11-21,NVR,628.5,628.5,614.12,626.35,26700,0,0
2011-11-22,NVR,624.96,644.0,623.14,641.41,43100,0,0
2011-11-23,NVR,632.45,638.02,623.4,625.93,33000,0,0
2011-11-25,NVR,628.19,631.44,613.77,626.88,8900,0,0
2011-11-28,NVR,636.75,636.95,626.02,631.75,40700,0,0
2011-11-29,NVR,634.46,652.19,633.0,643.16,41700,0,0
2011-11-30,NVR,656.0,678.73,654.7,669.85,99400,0,0
2011-12-01,NVR,668.19,677.78,664.18,664.55,51600,0,0
2011-12-02,NVR,669.75,673.88,663.9,671.24,27300,0,0
2011-12-05,NVR,679.49,692.19,677.22,682.1,19600,0,0
2011-12-06,NVR,679.63,689.35,677.5,687.08,25000,0,0
2011-12-07,NVR,682.5,688.47,675.0,684.08,18000,0,0
2011-12-08,NVR,676.15,676.57,662.85,665.64,24100,0,0
2011-12-09,NVR,674.8,677.49,667.39,676.2,16300,0,0
2011-12-12,NVR,673.7,673.7,655.01,665.85,17700,0,0
2011-12-13,NVR,670.02,670.02,634.17,645.11,51700,0,0
2011-12-14,NVR,643.71,644.93,627.51,629.02,34200,0,0
2011-12-15,NVR,632.11,643.7,631.0,640.15,43800,0,0
2011-12-16,NVR,640.15,656.94,640.15,656.29,47900,0,0
2011-12-19,NVR,655.0,657.8,638.16,641.18,18500,0,0
2011-12-20,NVR,649.9,660.73,649.9,660.0,30400,0,0
2011-12-21,NVR,657.1,675.54,650.97,675.54,43500,0,0
2011-12-22,NVR,678.17,678.81,672.5,676.01,27500,0,0
2011-12-23,NVR,675.2,676.73,668.01,675.0,38600,0,0
2011-12-27,NVR,673.24,676.32,669.4,672.26,7100,0,0
2011-12-28,NVR,671.0,671.0,662.4,666.13,18500,0,0
2011-12-29,NVR,670.11,686.79,670.0,685.0,17300,0,0
2011-12-30,NVR,686.0,689.67,682.16,686.0,10900,0,0
2012-01-03,NVR,696.23,712.12,692.5,703.16,82700,0,0
2012-01-04,NVR,700.5,707.26,695.1,705.01,17100,0,0
2012-01-05,NVR,705.01,718.66,693.37,715.0,17800,0,0
2012-01-06,NVR,712.0,720.91,707.65,711.63,22700,0,0
2012-01-09,NVR,714.75,717.26,709.0,712.56,15800,0,0
2012-01-10,NVR,713.45,717.43,705.86,711.0,32900,0,0
2012-01-11,NVR,709.0,719.99,702.53,717.25,59900,0,0
2012-01-12,NVR,712.0,720.56,700.01,717.25,31000,0,0
2012-01-13,NVR,707.61,728.7,701.82,724.83,39600,0,0
2012-01-17,NVR,729.1,731.69,718.22,723.18,23600,0,0
2012-01-18,NVR,726.94,753.62,721.0,752.7,58400,0,0
2012-01-19,NVR,751.0,757.0,746.83,755.08,51900,0,0
2012-01-20,NVR,752.0,759.13,742.56,744.69,14900,0,0
2012-01-23,NVR,744.35,748.68,732.6,738.88,29400,0,0
2012-01-24,NVR,730.31,741.48,728.27,739.28,31800,0,0
2012-01-25,NVR,738.91,755.3,733.5,746.84,55100,0,0
2012-01-26,NVR,723.0,729.8,692.54,700.65,143500,0,0
2012-01-27,NVR,700.28,705.59,688.5,698.26,105900,0,0
2012-01-30,NVR,695.0,702.16,686.79,702.0,43300,0,0
2012-01-31,NVR,704.9,708.5,688.46,693.25,42100,0,0
2012-02-01,NVR,700.25,721.77,697.99,716.63,46100,0,0
2012-02-02,NVR,716.63,718.0,707.04,712.5,12900,0,0
2012-02-03,NVR,723.9,736.55,720.57,728.01,28100,0,0
2012-02-06,NVR,728.01,734.11,718.92,722.15,9800,0,0
2012-02-07,NVR,719.25,724.98,715.31,723.0,12200,0,0
2012-02-08,NVR,720.14,723.99,710.0,719.24,24600,0,0
2012-02-09,NVR,719.8,726.85,711.99,717.0,35700,0,0
2012-02-10,NVR,710.33,710.51,701.0,703.64,29300,0,0
2012-02-13,NVR,707.9,722.5,701.08,721.48,31000,0,0
2012-02-14,NVR,718.03,726.94,710.39,722.52,26800,0,0
2012-02-15,NVR,720.95,727.49,710.01,718.07,23400,0,0
2012-02-16,NVR,716.99,720.04,713.0,715.96,9800,0,0
2012-02-17,NVR,711.17,718.17,709.27,714.0,16400,0,0
2012-02-21,NVR,715.45,718.15,705.78,711.42,17800,0,0
2012-02-22,NVR,706.75,708.5,696.31,699.07,44400,0,0
2012-02-23,NVR,695.6,701.84,693.99,698.98,26500,0,0
2012-02-24,NVR,701.2,702.85,677.89,679.53,29400,0,0
2012-02-27,NVR,676.26,694.24,674.06,693.57,24800,0,0
2012-02-28,NVR,692.71,695.38,680.08,684.1,26400,0,0
2012-02-29,NVR,684.77,701.33,684.77,692.0,52200,0,0
2012-03-01,NVR,695.96,699.37,686.31,690.01,45000,0,0
2012-03-02,NVR,687.82,691.38,685.3,688.51,19200,0,0
2012-03-05,NVR,685.15,691.29,683.05,689.14,18400,0,0
2012-03-06,NVR,682.24,682.24,667.98,671.0,43600,0,0
2012-03-07,NVR,671.0,696.72,669.44,695.88,55900,0,0
2012-03-08,NVR,687.53,706.17,687.53,703.57,23900,0,0
2012-03-09,NVR,707.59,725.75,703.7,721.46,61000,0,0
