date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,TTWO,13.01,13.7,12.94,13.41,3040400,0,0
2011-09-09,TTWO,13.27,13.55,13.22,13.44,2366500,0,0
2011-09-12,TTWO,13.34,13.61,13.1,13.58,1689400,0,0
2011-09-13,TTWO,13.57,13.84,13.14,13.76,1930700,0,0
2011-09-14,TTWO,13.68,14.13,13.6,13.96,1927900,0,0
2011-09-15,TTWO,14.04,14.15,13.73,14.0,1248300,0,0
2011-09-16,TTWO,14.0,14.02,13.71,14.01,1269300,0,0
2011-09-19,TTWO,13.71,13.93,13.44,13.78,804700,0,0
2011-09-20,TTWO,13.84,14.04,13.57,13.6,907600,0,0
2011-09-21,TTWO,13.63,13.88,13.24,13.24,1444600,0,0
2011-09-22,TTWO,12.85,13.04,12.41,12.62,2668700,0,0
2011-09-23,TTWO,12.58,12.95,12.48,12.88,1242100,0,0
2011-09-26,TTWO,12.96,13.23,12.72,13.19,900500,0,0
2011-09-27,TTWO,13.43,13.6,13.22,13.33,1122300,0,0
2011-09-28,TTWO,13.38,13.41,12.9,12.9,1425400,0,0
2011-09-29,TTWO,13.15,13.28,12.73,13.16,1542500,0,0
2011-09-30,TTWO,13.0,13.1,12.71,12.72,1288600,0,0
2011-10-03,TTWO,12.58,12.95,12.25,12.25,1953400,0,0
2011-10-04,TTWO,12.16,12.44,11.78,12.43,2193300,0,0
2011-10-05,TTWO,12.44,13.28,12.29,13.22,1713400,0,0
2011-10-06,TTWO,13.29,14.1,13.24,14.09,2483400,0,0
2011-10-07,TTWO,14.14,14.14,13.43,13.56,2112200,0,0
2011-10-10,TTWO,13.82,14.55,13.75,14.42,1720600,0,0
2011-10-11,TTWO,14.24,14.45,14.13,14.36,2036900,0,0
2011-10-12,TTWO,14.45,14.61,14.23,14.28,1124400,0,0
2011-10-13,TTWO,14.24,14.41,14.16,14.29,839900,0,0
2011-10-14,TTWO,14.44,14.44,14.01,14.04,1061700,0,0
2011-10-17,TTWO,13.89,14.1,13.84,13.92,976500,0,0
2011-10-18,TTWO,13.88,14.36,13.6,14.27,919600,0,0
2011-10-19,TTWO,14.22,14.4,13.83,13.89,811600,0,0
2011-10-20,TTWO,13.85,14.0,13.49,13.94,991500,0,0
2011-10-21,TTWO,14.21,14.21,13.8,14.09,578100,0,0
2011-10-24,TTWO,14.13,14.47,14.02,14.39,815400,0,0
2011-10-25,TTWO,14.9,15.71,14.8,15.22,3509200,0,0
2011-10-26,TTWO,15.49,15.51,15.06,15.27,2066000,0,0
2011-10-27,TTWO,15.66,15.93,15.49,15.8,3477200,0,0
2011-10-28,TTWO,15.7,16.27,15.6,16.21,1327800,0,0
2011-10-31,TTWO,15.87,15.99,15.57,15.78,983400,0,0
