date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,UAA,8.75625,9.10125,8.71125,8.84625,11810400,0,0.0
2011-09-09,UAA,8.73,8.7375,8.26,8.4425,10710400,0,0.0
2011-09-12,UAA,8.275,8.70125,8.26875,8.6725,8324000,0,0.0
2011-09-13,UAA,8.71625,8.98125,8.64875,8.89625,6777600,0,0.0
2011-09-14,UAA,8.935,9.55,8.775,9.405,17751200,0,0.0
2011-09-15,UAA,9.425,9.6625,9.21375,9.6025,15256800,0,0.0
2011-09-16,UAA,9.675,10.1,9.575,9.86,20979200,0,0.0
2011-09-19,UAA,9.6575,9.94375,9.52375,9.82375,9246400,0,0.0
2011-09-20,UAA,9.86375,10.03125,9.5325,9.56625,9038400,0,0.0
2011-09-21,UAA,9.58125,9.6725,9.2075,9.21,9730400,0,0.0
2011-09-22,UAA,8.81875,8.9375,8.63125,8.815,15057600,0,0.0
2011-09-23,UAA,8.9025,9.37375,8.87625,9.08375,9370400,0,0.0
2011-09-26,UAA,9.215,9.54625,9.02625,9.5275,7784800,0,0.0
2011-09-27,UAA,9.7875,9.81125,9.3475,9.4425,11044800,0,0.0
2011-09-28,UAA,9.465,9.50375,9.11,9.13125,6234400,0,0.0
2011-09-29,UAA,9.33125,9.34875,8.3075,8.8125,10993600,0,0.0
2011-09-30,UAA,8.65125,8.80125,8.2975,8.30125,8712800,0,0.0
2011-10-03,UAA,8.18875,8.47375,7.89,8.07125,9404000,0,0.0
2011-10-04,UAA,7.9425,8.55,7.8125,8.5075,13638400,0,0.0
2011-10-05,UAA,8.50125,8.7,8.335,8.65625,9599200,0,0.0
2011-10-06,UAA,8.6625,9.0675,8.625,9.0325,7144000,0,0.0
2011-10-07,UAA,9.03875,9.17375,8.69625,8.745,7935200,0,0.0
2011-10-10,UAA,8.99,9.36125,8.99,9.30625,6468800,0,0.0
2011-10-11,UAA,9.27875,9.525,9.15875,9.40875,7399200,0,0.0
2011-10-12,UAA,9.4825,9.695,9.23875,9.28125,10852000,0,0.0
2011-10-13,UAA,9.2275,9.41875,9.1,9.1875,7830400,0,0.0
2011-10-14,UAA,9.3525,9.4,9.16125,9.33,6338400,0,0.0
2011-10-17,UAA,9.3775,9.56,8.97375,9.06,6116800,0,0.0
2011-10-18,UAA,9.00875,9.2375,8.65375,9.15125,7508000,0,0.0
2011-10-19,UAA,9.09,9.20625,8.885,8.91125,5111200,0,0.0
2011-10-20,UAA,8.9275,9.03125,8.75,8.95875,4283200,0,0.0
