date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,WST,18.169174,18.257038,17.748358,17.780727,297000,0.0,0.0
2011-09-09,WST,17.623497,17.688238,17.165684,17.470892,592400,0.0,0.0
2011-09-12,WST,17.29054,17.66049,17.26742,17.646618,403400,0.0,0.0
2011-09-13,WST,17.678997,18.011953,17.591135,17.961084,264000,0.0,0.0
2011-09-14,WST,18.06744,18.719477,17.831596,18.455887,389000,0.0,0.0
2011-09-15,WST,18.56225,18.56225,18.169178,18.511381,257200,0.0,0.0
2011-09-16,WST,18.50676,18.673237,18.41427,18.52988,335200,0.0,0.0
2011-09-19,WST,18.247786,18.372643,18.035065,18.201542,188800,0.0,0.0
2011-09-20,WST,18.26167,18.576124,18.002703,18.081316,320800,0.0,0.0
2011-09-21,WST,18.090567,18.127562,17.581886,17.605007,406000,0.0,0.0
2011-09-22,WST,17.119452,17.457031,17.06396,17.211939,411200,0.0,0.0
2011-09-23,WST,17.198053,17.55413,17.156435,17.401527,207200,0.0,0.0
2011-09-26,WST,17.50789,17.605003,17.216555,17.568008,208800,0.0,0.0
2011-09-27,WST,17.831602,18.132185,17.725243,17.891718,447800,0.0,0.0
2011-09-28,WST,17.919455,17.919455,17.054697,17.06857,352000,0.0,0.0
2011-09-29,WST,17.350664,17.433903,17.050077,17.37841,262400,0.0,0.0
2011-09-30,WST,17.156435,17.535633,17.12869,17.156435,374000,0.0,0.0
2011-10-03,WST,17.04545,17.299791,16.448906,16.527521,535200,0.0,0.0
2011-10-04,WST,16.416538,17.387655,16.416538,17.359911,521800,0.0,0.0
2011-10-05,WST,17.364542,17.757614,17.16107,17.59576,470400,0.0,0.0
2011-10-06,WST,17.535637,17.595755,17.2628,17.48477,432000,0.0,0.0
2011-10-07,WST,17.50789,17.50789,17.017706,17.124067,513400,0.0,0.0
2011-10-10,WST,17.40615,17.63737,17.327538,17.623497,905600,0.0,0.0
2011-10-11,WST,17.526384,17.697485,17.4154,17.521759,298400,0.0,0.0
2011-10-12,WST,17.637371,17.789976,17.600378,17.692863,260000,0.0,0.0
2011-10-13,WST,17.641996,17.641996,17.332163,17.535635,167800,0.0,0.0
2011-10-14,WST,17.70212,17.873224,17.563389,17.762238,203000,0.0,0.0
2011-10-17,WST,17.594973,17.678604,17.13965,17.21399,364800,0.09,0.0
2011-10-18,WST,17.246506,17.608906,17.125706,17.474167,421600,0.0,0.0
2011-10-19,WST,17.502048,17.748297,17.437004,17.469526,229400,0.0,0.0
2011-10-20,WST,17.46952,17.52063,17.130352,17.409122,263800,0.0,0.0
2011-10-21,WST,17.529934,17.985256,17.529934,17.975964,335000,0.0,0.0
2011-10-24,WST,18.00848,18.473095,17.948082,18.463804,282000,0.0,0.0
2011-10-25,WST,18.36159,18.40805,17.892326,17.920204,195200,0.0,0.0
2011-10-26,WST,18.129276,18.198969,17.748293,18.11534,286000,0.0,0.0
2011-10-27,WST,18.640352,19.17466,18.380169,19.11426,492800,0.0,0.0
