,open,high,low,close,d%change,c%change
2020-01-02,10000.0,10000.0,10000.0,10000.0,,0.0
2020-01-03,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2020-01-06,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2020-01-07,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2020-01-08,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2020-01-09,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2020-01-10,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2020-01-13,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2020-01-14,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2020-01-15,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2020-01-16,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2020-01-17,9999.03,10021.55,9997.66,10020.51,0.21,0.21
2020-01-21,9991.59,10005.65,9961.2,9984.68,-0.36,-0.15
2020-01-22,9996.07,10002.99,9965.89,9968.56,-0.16,-0.31
2020-01-23,9956.41,9964.76,9935.83,9953.57,-0.15,-0.46
2020-01-24,9959.09,9972.4,9884.3,9911.72,-0.42,-0.88
2020-01-27,9854.22,9892.14,9823.0,9835.53,-0.77,-1.64
2020-01-28,9866.84,9911.83,9833.74,9884.0,0.49,-1.16
2020-01-29,9895.89,9906.73,9823.48,9835.26,-0.49,-1.65
2020-01-30,9798.65,9852.61,9739.7,9825.36,-0.1,-1.75
2020-01-31,9801.34,9813.8,9661.94,9702.91,-1.25,-2.97
2020-02-03,9718.63,9819.17,9691.97,9748.72,0.47,-2.51
2020-02-04,9837.16,9913.1,9794.83,9871.88,1.26,-1.28
2020-02-05,9947.07,10001.09,9817.92,9916.3,0.45,-0.84
2020-02-06,9915.54,10022.14,9805.39,9928.85,0.13,-0.71
2020-02-07,9896.95,9969.79,9790.49,9836.74,-0.93,-1.63
2020-02-10,9785.53,9929.53,9745.39,9913.3,0.78,-0.87
2020-02-11,9961.29,10026.44,9865.44,9930.35,0.17,-0.7
2020-02-12,9969.86,10066.31,9910.69,10000.88,0.71,0.01
2020-02-13,9950.85,10069.41,9897.8,9992.63,-0.08,-0.07
2020-02-14,10004.53,10060.91,9887.2,9968.77,-0.24,-0.31
2020-02-18,9954.16,10024.47,9863.55,9944.08,-0.25,-0.56
2020-02-19,9974.41,10075.17,9908.75,9993.93,0.5,-0.06
2020-02-20,9957.64,10024.66,9741.15,9848.13,-1.46,-1.52
2020-02-21,9811.49,9839.03,9621.58,9692.75,-1.58,-3.07
